rooms,price,area,oneMeterPrice
2,176000,50,3520
2,265000,48,5520.83
2,200000,51,3921.57
2,159000,49,3244.90
3,174000,55.25,3149.32
2,169000,42,4023.81
2,165000,39,4230.77
2,229000,57.37,3991.63
2,162000,39,4153.85
2,177000,49,3612.24
1,119000,30.94,3846.15
2,115000,38,3026.32
3,699000,100,6990
4,409000,88,4647.73
4,225000,72.45,3105.59
3,319000,61.50,5186.99
3,359000,76.60,4686.68
4,306000,64,4781.25
2,129000,36.21,3562.55
2,136900,45.10,3035.48
2,349000,42,8309.52
2,339000,60,5650
3,267000,62.23,4290.54
3,186000,62.07,2996.62
2,124900,38,3286.84
2,214000,53,4037.74
3,187000,57,3280.70
2,172000,47.50,3621.05
2,174900,50,3498
5,575000,155.26,3703.47
2,210000,60,3500
3,285000,64,4453.13
2,190000,51,3725.49
2,79000,49.49,1596.28
2,147200,46,3200
5,740000,180.70,4095.19
2,153000,42.42,3606.79
2,176000,50,3520
2,350000,52.72,6638.85
2,135000,37,3648.65
2,165000,37,4459.46
2,159000,45,3533.33
2,299000,54.60,5476.19
2,122000,38.65,3156.53
3,227000,63.30,3586.10
2,180000,45.50,3956.04
2,149000,47.56,3132.88
2,155000,45.30,3421.63
2,179000,50.53,3542.45
3,215000,57,3771.93
2,165000,42.42,3889.67
3,239000,57,4192.98
2,175000,53.40,3277.15
2,159000,37,4297.30
3,438000,90.30,4850.50
1,117000,35,3342.86
2,151000,42.42,3559.64
3,189000,52.97,3568.06
3,245000,63,3888.89
2,165000,42.42,3889.67
4,700000,149.12,4694.21
3,625000,80,7812.50
2,135000,42,3214.29
1,125000,30.94,4040.08
2,197000,47,4191.49
3,227000,64,3546.88
3,195000,48,4062.50
3,180000,56.09,3209.13
2,90000,51,1764.71
2,190224,39.63,4800
3,244582,53.17,4600
2,190224,39.63,4800
2,165000,42.42,3889.67
1,149000,43,3465.12
2,146587,39.09,3749.99
2,187201,39.83,4700
3,229264,49.84,4600
3,247802,53.87,4600
2,168000,45.50,3692.31
3,453700,69.80,6500
1,138000,37,3729.73
2,249000,53.73,4634.28
3,359000,76.60,4686.68
3,297000,61,4868.85
4,280000,79.64,3515.82
2,179000,42.42,4219.71
2,140000,42,3333.33
2,179000,51,3509.80
2,130000,37,3513.51
1,100000,31,3225.81
2,205000,50,4100
2,149000,45,3311.11
3,182000,53,3433.96
2,147000,38,3868.42
2,135500,46,2945.65
3,259000,54.66,4738.38
2,43000,58,741.38
1,138000,37,3729.73
2,135000,40.23,3355.70
1,118000,34,3470.59
1,103000,21.25,4847.06
1,115000,38.95,2952.50
1,125000,34.58,3614.81
3,230000,65,3538.46
2,175000,51,3431.37
2,139000,45,3088.89
3,395000,102,3872.55
2,209000,38,5500
3,225000,56,4017.86
3,430000,91.92,4677.98
1,12000,22,545.45
3,185000,54.41,3400.11
3,174000,49.50,3515.15
1,124000,38.20,3246.07
3,299000,72.18,4142.42
1,125000,35,3571.43
2,175000,51,3431.37
3,240000,60,4000
2,200000,47,4255.32
2,10000,47,212.77
4,559000,105,5323.81
4,210000,72,2916.67
2,136000,36,3777.78
3,189000,55,3436.36
2,167900,37,4537.84
2,130000,37,3513.51
3,260000,64,4062.50
4,298000,101.80,2927.31
2,136000,37,3675.68
3,155000,48,3229.17
4,145000,45,3222.22
2,130000,37,3513.51
3,159000,47,3382.98
2,159000,46,3456.52
2,210069,41.20,5098.76
2,219800,43.93,5003.41
2,206450,41.26,5003.64
2,253300,50.72,4994.09
2,288708,58.81,4909.17
2,221279,45.50,4863.27
2,206192,42.02,4907
2,214130,45.96,4659.05
2,217704,45.73,4760.64
3,295728,65.26,4531.54
1,120480,24.83,4852.19
3,287170,60.65,4734.87
3,259616,61.80,4200.91
2,165000,42.42,3889.67
1,149000,43,3465.12
2,146587,39.09,3749.99
2,187201,39.83,4700
3,229264,49.84,4600
3,247802,53.87,4600
3,453700,69.80,6500
1,138000,37,3729.73
2,249000,53.73,4634.28
3,359000,76.60,4686.68
3,297000,61,4868.85
4,280000,79.64,3515.82
2,179000,42.42,4219.71
2,140000,42,3333.33
2,179000,51,3509.80
2,130000,37,3513.51
1,100000,31,3225.81
2,205000,50,4100
2,149000,45,3311.11
3,182000,53,3433.96
2,147000,38,3868.42
2,135500,46,2945.65
3,259000,54.66,4738.38
2,43000,58,741.38
1,138000,37,3729.73
2,135000,40.23,3355.70
1,118000,34,3470.59
1,103000,21.25,4847.06
1,115000,38.95,2952.50
1,125000,34.58,3614.81
3,230000,65,3538.46
2,175000,51,3431.37
2,139000,45,3088.89
3,395000,102,3872.55
2,209000,38,5500
3,225000,56,4017.86
3,430000,91.92,4677.98
1,12000,22,545.45
3,185000,54.41,3400.11
3,174000,49.50,3515.15
1,124000,38.20,3246.07
3,299000,72.18,4142.42
1,125000,35,3571.43
2,175000,51,3431.37
3,240000,60,4000
2,200000,47,4255.32
2,10000,47,212.77
4,559000,105,5323.81
4,210000,72,2916.67
2,136000,36,3777.78
3,189000,55,3436.36
2,167900,37,4537.84
2,130000,37,3513.51
3,260000,64,4062.50
2,136000,37,3675.68
3,155000,48,3229.17
4,145000,45,3222.22
2,130000,37,3513.51
3,159000,47,3382.98
2,159000,46,3456.52
2,210069,41.20,5098.76
2,219800,43.93,5003.41
2,206450,41.26,5003.64
2,253300,50.72,4994.09
2,288708,58.81,4909.17
2,221279,45.50,4863.27
2,206192,42.02,4907
2,214130,45.96,4659.05
2,217704,45.73,4760.64
3,295728,65.26,4531.54
1,120480,24.83,4852.19
3,287170,60.65,4734.87
3,259616,61.80,4200.91
